|Austria|Belgium|Czech Republic|Denmark|Estonia|Finland|France|Germany|Greece|Hungary|Iceland|Ireland|Italy|Luxembourg|Netherlands|Norway|Poland|Portugal|Romania|Russia & Belarus|Slovakia|Slovenia|Spain|Sweden|Switzerland & Liechtenstein|Turkey|Ukraine|United Kingdom
Steep descent| /wiki/File:Gefahrenzeichen_7.svg| /wiki/File:Belgian_road_sign_A3.svg| /wiki/File:Czech_Republic_road_sign_A_5a.svg| /wiki/File:Denmark_road_sign_A46.1.svg| /wiki/File:EE_traffic_sign-145.png| /wiki/File:Finland_road_sign_115.svg| /wiki/File:France_road_sign_A16.svg| /wiki/File:Zeichen_108-10_-_Gef%C3%A4lle,_StVO_2017.svg| /wiki/File:Traffic_Sign_GR_-_KOK_2009_-_K-3.svg| /wiki/File:Hungary_road_sign_A-005.svg| /wiki/File:Iceland_road_sign_A18.xx.svg| /wiki/File:W105_Steep_Descent_-_Warning_Sign_Ireland.png| /wiki/File:Italian_traffic_signs_-_discesa_pericolosa.svg| /wiki/File:Luxembourg_road_sign_diagram_A_2.gif| /wiki/File:Nederlands_verkeersbord_J7.svg| /wiki/File:Norwegian-road-sign-104.2.svg| /wiki/File:Znak_A-22.svg| /wiki/File:Portugal_road_sign_A3a.svg| /wiki/File:Romania_road_sign_A7.svg| /wiki/File:1.13_Russian_road_sign.svg| /wiki/File:Dopravn%C3%A1_zna%C4%8Dka_A3a.svg| /wiki/File:Slovenia_road_sign_I-3.svg| /wiki/File:Spain_traffic_signal_p16a.svg| /wiki/File:Sweden_road_sign_A3.svg| /wiki/File:CH-Gefahrensignal-Gefaehrliches_Gefaelle.svg| /wiki/File:Turkey_road_sign_T-3a.svg| /wiki/File:Ukraine_road_sign_1.7.gif| /wiki/File:UK_traffic_sign_523.1.svg
Steep ascent| /wiki/File:Gefahrenzeichen_7a.svg| /wiki/File:Belgian_road_sign_A5.svg| /wiki/File:Czech_Republic_road_sign_A_5b.svg| /wiki/File:Denmark_road_sign_A46.2.svg| /wiki/File:EE_traffic_sign-146.png| /wiki/File:Finland_road_sign_116.svg|NOT USED| /wiki/File:Zeichen_110-58_-_Steigung,_StVO_1992.svg| /wiki/File:Traffic_Sign_GR_-_KOK_2009_-_K-4.svg| /wiki/File:Hungary_road_sign_A-006.svg| /wiki/File:Iceland_road_sign_A19.xx.svg| /wiki/File:W106_Steep_Ascent_-_Warning_Sign_Ireland.png| /wiki/File:Italian_traffic_signs_-_salita_ripida.svg| /wiki/File:Luxembourg_road_sign_diagram_A_3.gif| /wiki/File:Nederlands_verkeersbord_J6.svg| /wiki/File:Norwegian-road-sign-104.1.svg| /wiki/File:Znak_A-23.svg| /wiki/File:Portugal_road_sign_A3b.svg| /wiki/File:Romania_road_sign_A8.svg| /wiki/File:1.14_Russian_road_sign.svg| /wiki/File:Dopravn%C3%A1_zna%C4%8Dka_A3b.svg| /wiki/File:Slovenia_road_sign_I-4.svg| /wiki/File:Spain_traffic_signal_p16b.svg| /wiki/File:Sweden_road_sign_A4.svg| /wiki/File:CH-Gefahrensignal-Starke_Steigung.svg| /wiki/File:Turkey_road_sign_T-3b.svg| /wiki/File:Ukraine_road_sign_1.6.gif| /wiki/File:UK_traffic_sign_524.1.svg
|Austria|Belgium|Czech Republic|Denmark|Estonia|Finland|France|Germany|Greece|Hungary|Iceland|Ireland|Italy|Luxembourg|Netherlands|Norway|Poland|Portugal|Romania|Russia & Belarus|Slovakia|Slovenia|Spain|Sweden|Switzerland & Liechtenstein|Turkey|Ukraine|United Kingdom
Road bump ahead|| /wiki/File:Belgian_road_sign_A14.svg| /wiki/File:Czech_Republic_road_sign_A_7b.svg| /wiki/File:Denmark_road_sign_A36.svg| /wiki/File:EE_traffic_sign-154.png| /wiki/File:Finland_road_sign_141a.svg| /wiki/File:France_road_sign_A2b.svg|NOT USED| /wiki/File:Traffic_Sign_GR_-_KOK_2009_-_K-10.svg| /wiki/File:Hungary_road_sign_A-014.svg| /wiki/File:Iceland_road_sign_A20.21.svg| /wiki/File:W130_Road_Hump_-_Warning_Sign_Ireland.png| /wiki/File:Italian_traffic_signs_-_dosso.svg| /wiki/File:Luxembourg_road_sign_diagram_A_7_b.gif| /wiki/File:Nederlands_verkeersbord_J38.svg| /wiki/File:Norwegian-road-sign-109.0.svg| /wiki/File:Znak_A-11a.svg| /wiki/File:Portugal_road_sign_A2a.svg| /wiki/File:Romania_road_sign_A18.svg| /wiki/File:1.17_Russian_road_sign.svg| /wiki/File:Dopravn%C3%A1_zna%C4%8Dka_A6.svg| /wiki/File:Slovenia_road_sign_I-10.svg| /wiki/File:Spain_traffic_signal_p15a.svg| /wiki/File:Sweden_road_sign_A9-1.svg| /wiki/File:CH-Gefahrensignal-Unebene_Fahrbahn.svg| /wiki/File:Turkish_road_sign_24.jpg| /wiki/File:Ukraine_road_sign_1.11.gif| /wiki/File:UK_traffic_sign_557.1.svg
Uneven road ahead| /wiki/File:Gefahrenzeichen_1.svg| /wiki/File:Belgian_road_sign_A13.svg| /wiki/File:Czech_Republic_road_sign_A_7a.svg| /wiki/File:Denmark_road_sign_A37.svg| /wiki/File:EE_traffic_sign-152.png| /wiki/File:Finland_road_sign_141.svg| /wiki/File:France_road_sign_A2a.svg| /wiki/File:Zeichen_112_%E2%80%93_Unebene_Fahrbahn,_StVO_1970.svg| /wiki/File:Traffic_Sign_GR_-_KOK_2009_-_K-9.svg| /wiki/File:Hungary_road_sign_A-013.svg| /wiki/File:Iceland_road_sign_A20.11.svg| /wiki/File:W133_Uneven_Road_-_Warning_Sign_Ireland.png| /wiki/File:Italian_traffic_signs_-_strada_dissestata.svg| /wiki/File:Luxembourg_road_sign_diagram_A_7_a.gif| /wiki/File:Nederlands_verkeersbord_J1.svg| /wiki/File:Norwegian-road-sign-108.0.svg| /wiki/File:Znak_A-11.svg| /wiki/File:Portugal_road_sign_A2c.svg| /wiki/File:Romania_road_sign_A17.svg| /wiki/File:1.16_Russian_road_sign.svg| /wiki/File:Dopravn%C3%A1_zna%C4%8Dka_A5.svg| /wiki/File:Slovenia_road_sign_I-8.svg| /wiki/File:Spain_traffic_signal_p15.svg| /wiki/File:Sweden_road_sign_A8.svg| /wiki/File:CH-Gefahrensignal-Unebene_Fahrbahn.svg| /wiki/File:Turkish_road_sign_25.jpg| /wiki/File:Ukraine_road_sign_1.10.gif| /wiki/File:UK_traffic_sign_556.svg
Curve| /wiki/File:Gefahrenzeichen_2a.svg| /wiki/File:Belgian_road_sign_A1b.svg| /wiki/File:Czech_Republic_road_sign_A_1a.svg| /wiki/File:Denmark_road_sign_A41.1.svg| /wiki/File:EE_traffic_sign-141.png| /wiki/File:Finland_road_sign_111.svg| /wiki/File:France_road_sign_A1a.svg| /wiki/File:Zeichen_103-20_-_Kurve_(rechts),_StVO_1992.svg| /wiki/File:Traffic_Sign_GR_-_KOK_2009_-_K-1d.svg| /wiki/File:Hungary_road_sign_A-002.svg| /wiki/File:Iceland_road_sign_A01.11.svg| /wiki/File:W051L_Sharp_Bend_Left_-_Warning_Sign_Ireland.png| /wiki/File:Italian_traffic_signs_-_curva_pericolosa_a_destra.svg| /wiki/File:Luxembourg_road_sign_diagram_A_1_a2.gif| /wiki/File:Nederlands_verkeersbord_J2.svg| /wiki/File:Norwegian-road-sign-100.1.svg| /wiki/File:Znak_A-1.svg| /wiki/File:Portugal_road_sign_A1a.svg| /wiki/File:Romania_road_sign_A2.svg| /wiki/File:1.11.1_Russian_road_sign.svg| /wiki/File:Dopravn%C3%A1_zna%C4%8Dka_A1a.svg| /wiki/File:Slovenia_road_sign_I-1.1.svg| /wiki/File:Spain_traffic_signal_p13a.svg| /wiki/File:Sweden_road_sign_A1-2.svg| /wiki/File:CH-Gefahrensymbol-Rechtskurve.svg| /wiki/File:Turkish_road_sign_26.jpg| /wiki/File:Ukraine_road_sign_1.2.gif| /wiki/File:UK_traffic_sign_512L.svg
Double curve| /wiki/File:Gefahrenzeichen_2d.svg| /wiki/File:Belgian_road_sign_A1c.svg| /wiki/File:Czech_Republic_road_sign_A_2b.svg| /wiki/File:Denmark_road_sign_A42.2.svg| /wiki/File:EE_traffic_sign-143.png| /wiki/File:Finland_road_sign_114.svg| /wiki/File:France_road_sign_A1d.svg| /wiki/File:Zeichen_105-10_-_Doppelkurve_(zun%C3%A4chst_links),_StVO_1992.svg| /wiki/File:Traffic_Sign_GR_-_KOK_2009_-_K-2a.svg| /wiki/File:Hungary_road_sign_A-003.svg| /wiki/File:Iceland_road_sign_A01.22.svg| /wiki/File:W052L_Series_of_Sharp_Corners_Left_-_Warning_Sign_Ireland.png| /wiki/File:Italian_traffic_signs_-_doppia_curva_sx.svg| /wiki/File:Luxembourg_road_sign_diagram_A_1_b1.gif| /wiki/File:Nederlands_verkeersbord_J5.svg| /wiki/File:Norwegian-road-sign-102.2.svg| /wiki/File:Znak_A-4.svg| /wiki/File:Portugal_road_sign_A1d.svg| /wiki/File:Romania_road_sign_A3.svg| /wiki/File:1.12.2_Russian_road_sign.svg| /wiki/File:Dopravn%C3%A1_zna%C4%8Dka_A2b.svg| /wiki/File:Slovenia_road_sign_I-2.svg| /wiki/File:Spain_traffic_signal_p14b.svg| /wiki/File:Sweden_road_sign_A2-1.svg| /wiki/File:CH-Gefahrensignal-Doppelkurve-links.svg| /wiki/File:Turkish_road_sign_27.jpg| /wiki/File:Ukraine_road_sign_1.3.2.gif| /wiki/File:UK_traffic_sign_513R.svg
Slippery road surface| /wiki/File:Gefahrenzeichen_10.svg| /wiki/File:Belgian_road_sign_A15.svg| /wiki/File:Czech_Republic_road_sign_A_8.svg| /wiki/File:Denmark_road_sign_A31.svg| /wiki/File:EE_traffic_sign-151.png| /wiki/File:Finland_road_sign_144.svg| /wiki/File:France_road_sign_A4.svg| /wiki/File:Zeichen_114_-_Schleudergefahr_bei_N%C3%A4sse_und_Schmutz,_StVO_1992.svg| /wiki/File:Traffic_Sign_GR_-_KOK_2009_-_K-12.svg| /wiki/File:Hungary_road_sign_A-016.svg| /wiki/File:Iceland_road_sign_A27.11.svg| /wiki/File:W134_Slippery_Road_-_Warning_Sign_Ireland.png| /wiki/File:Italian_traffic_signs_-_strada_sdrucciolevole.svg| /wiki/File:Luxembourg_road_sign_diagram_A_8.gif| /wiki/File:Nederlands_verkeersbord_J20.svg| /wiki/File:Norwegian-road-sign-116.0.svg| /wiki/File:Znak_A-15.svg| /wiki/File:Portugal_road_sign_A5.svg| /wiki/File:Romania_road_sign_A19.svg| /wiki/File:1.15_Russian_road_sign.svg| /wiki/File:Dopravn%C3%A1_zna%C4%8Dka_A8.svg| /wiki/File:Slovenia_road_sign_I-11.svg| /wiki/File:Spain_traffic_signal_p19.svg| /wiki/File:Sweden_road_sign_A10.svg| /wiki/File:CH-Gefahrensignal-Schleudergefahr.svg| /wiki/File:Turkish_road_sign_28.jpg| /wiki/File:Ukraine_road_sign_1.13.gif| /wiki/File:UK_traffic_sign_557.svg
Loose road surface|| /wiki/File:Belgian_road_sign_A17.svg| /wiki/File:Czech_Republic_road_sign_A_17.svg| /wiki/File:Denmark_road_sign_A33.svg| /wiki/File:EE_traffic_sign-155.png| /wiki/File:Finland_road_sign_143.svg| /wiki/File:France_road_sign_AK22.svg| /wiki/File:Zeichen_116_-_Splitt,_Schotter,_StVO_1992.svg| /wiki/File:Traffic_Sign_GR_-_KOK_2009_-_K-13.svg| /wiki/File:Hungary_road_sign_A-017.svg| /wiki/File:Iceland_road_sign_A22.11.svg| /wiki/File:Ireland_road_sign_WK_073.svg| /wiki/File:Italian_traffic_signs_-_materiale_instabile.svg| /wiki/File:Luxembourg_road_sign_diagram_A_9.gif| /wiki/File:Nederlands_verkeersbord_J25.svg| /wiki/File:Norwegian-road-sign-112.0.svg| /wiki/File:Znak_A-28.svg| /wiki/File:Portugal_road_sign_A6.svg| /wiki/File:Romania_road_sign_A20.svg| /wiki/File:1.18_Russian_road_sign.svg| /wiki/File:Dopravn%C3%A1_zna%C4%8Dka_A11.svg| /wiki/File:Slovenia_road_sign_I-12.svg| /wiki/File:Spain_traffic_signal_p28.svg| /wiki/File:Sweden_road_sign_A11.svg| /wiki/File:CH-Gefahrensignal-Rollsplitt.svg| /wiki/File:Turkish_road_sign_29.jpg| /wiki/File:Ukraine_road_sign_1.14.gif| /wiki/File:UK_traffic_sign_7009.svg
Soft verges or dangerous shoulder||NOT USED| /wiki/File:Czech_Republic_road_sign_A_28.svg| /wiki/File:Denmark_road_sign_A35.svg| /wiki/File:EE_traffic_sign-157a.png| /wiki/File:Finland_road_sign_147.svg|NOT USED|| /wiki/File:Traffic_Sign_GR_-_KOK_2009_-_K-38d.svg|| /wiki/File:Iceland_road_sign_A29.11.svg| /wiki/File:Ireland_road_sign_WK_074.svg| /wiki/File:Italian_traffic_signs_-_banchina_pericolosa.svg||| /wiki/File:Norwegian-road-sign-117.0.svg| /wiki/File:Znak_A-31.svg| /wiki/File:Portugal_road_sign_A7a.svg| /wiki/File:Romania_road_sign_A12.svg| /wiki/File:1.19_Russian_road_sign.svg| /wiki/File:Dopravn%C3%A1_zna%C4%8Dka_A7.svg| /wiki/File:Slovenia_road_sign_I-34.svg| /wiki/File:Spain_traffic_signal_p30.svg| /wiki/File:Sweden_road_sign_A27.svg|NOT USED| /wiki/File:Turkey_road_sign_T-36.svg| /wiki/File:Ukraine_road_sign_1.15.gif| /wiki/File:UK_traffic_sign_556.1.svg
Children| /wiki/File:Gefahrenzeichen_12.svg| /wiki/File:Belgian_road_sign_A23.svg| /wiki/File:Czech_Republic_road_sign_A_12.svg| /wiki/File:Denmark_road_sign_A22.svg| /wiki/File:EE_traffic_sign-173a.png| /wiki/File:Finland_road_sign_152.svg| /wiki/File:France_road_sign_A13a.svg| /wiki/File:Zeichen_136-10_-_Kinder,_Aufstellung_rechts,_StVO_1992.svg| /wiki/File:Traffic_Sign_GR_-_KOK_2009_-_K-16.svg| /wiki/File:Hungary_road_sign_A-021.svg| /wiki/File:Iceland_road_sign_A11.11.svg| /wiki/File:W141_School_Ahead_-Warning_Sign_Ireland.png| /wiki/File:Italian_traffic_signs_-_bambini.svg| /wiki/File:Luxembourg_road_sign_diagram_A_13.gif| /wiki/File:Nederlands_verkeersbord_J21.svg| /wiki/File:Norwegian-road-sign-142.0.svg| /wiki/File:Znak_A-17.svg| /wiki/File:Portugal_road_sign_A14.svg| /wiki/File:Romania_road_sign_A23.svg| /wiki/File:1.23_Russian_road_sign.svg| /wiki/File:Dopravn%C3%A1_zna%C4%8Dka_A15.svg| /wiki/File:Slovenia_road_sign_I-15.svg| /wiki/File:Spain_traffic_signal_p21.svg| /wiki/File:Sweden_road_sign_A15.svg| /wiki/File:CH-Gefahrensignal-Kinder.svg| /wiki/File:Turkish_road_sign_30.jpg| /wiki/File:Ukraine_road_sign_1.33.gif| /wiki/File:UK_traffic_sign_545.svg
Pedestrian crossing ahead| /wiki/File:Gefahrenzeichen_11.svg| /wiki/File:Belgian_road_sign_A21.svg| /wiki/File:Czech_Republic_road_sign_A_11.svg| /wiki/File:Denmark_road_sign_A17.svg| /wiki/File:Estonia_road_sign_171.svg| /wiki/File:Finland_road_sign_151.svg| /wiki/File:A13b_1977.svg| /wiki/File:Zeichen_134-10_-_Fu%C3%9Fg%C3%A4nger%C3%BCberweg,_Aufstellung_rechts,_StVO_1992.svg| /wiki/File:Traffic_Sign_GR_-_KOK_2009_-_K-15.svg| /wiki/File:Hungary_road_sign_A-020.svg| /wiki/File:Iceland_road_sign_A11.22.svg| /wiki/File:Ireland_road_sign_-_Pedestrian_Crossing.svg| /wiki/File:Italian_traffic_signs_-_attraversamento_pericoloso.svg| /wiki/File:Luxembourg_road_sign_diagram_A_11_a.gif| /wiki/File:Nederlands_verkeersbord_J22.svg| /wiki/File:Norwegian-road-sign-140.0.svg| /wiki/File:Znak_A-16.svg| /wiki/File:Portugal_road_sign_A16a.svg| /wiki/File:Romania_road_sign_A22.svg| /wiki/File:1.22_Russian_road_sign.svg| /wiki/File:Dopravn%C3%A1_zna%C4%8Dka_A13.svg| /wiki/File:Slovenia_road_sign_I-14.svg| /wiki/File:Spain_traffic_signal_p20.svg| /wiki/File:Sweden_road_sign_A13.svg| /wiki/File:CH-Gefahrensignal-Fussgaengerstreifen.svg| /wiki/File:Turkish_road_sign_31.jpg| /wiki/File:Ukraine_road_sign_1.32.gif| /wiki/File:UK_traffic_sign_544.svg
Cyclists| /wiki/File:Gefahrenzeichen_11a.svg| /wiki/File:Belgian_road_sign_A25.svg| /wiki/File:Czech_Republic_road_sign_A_19.svg| /wiki/File:Denmark_road_sign_A21.svg| /wiki/File:EE_traffic_sign-174.png| /wiki/File:Finland_road_sign_153.svg| /wiki/File:France_road_sign_A21.svg| /wiki/File:Zeichen_138-10_-_Radverkehr,_StVO_2013.svg| /wiki/File:Traffic_Sign_GR_-_KOK_2009_-_K-17.svg| /wiki/File:Hungary_road_sign_A-022.svg| /wiki/File:Iceland_road_sign_A11.41.svg| /wiki/File:Ireland_road_sign_W_143.svg| /wiki/File:Italian_traffic_signs_-_attraversamento_ciclabile.svg| /wiki/File:Luxembourg_road_sign_diagram_A_12.gif| /wiki/File:Nederlands_verkeersbord_J24.svg| /wiki/File:Norwegian-road-sign-144.0.svg| /wiki/File:Znak_A-24.svg| /wiki/File:Portugal_road_sign_A17.svg| /wiki/File:Romania_road_sign_A24.svg| /wiki/File:1.24_Russian_road_sign.svg| /wiki/File:Dopravn%C3%A1_zna%C4%8Dka_A16.svg| /wiki/File:Slovenia_road_sign_I-16.svg| /wiki/File:Spain_traffic_signal_p22.svg| /wiki/File:Sweden_road_sign_A16.svg| /wiki/File:CH-Gefahrensignal-Radfahrer.svg| /wiki/File:Turkish_road_sign_32.jpg| /wiki/File:Ukraine_road_sign_1.34.gif| /wiki/File:UK_traffic_sign_950.svg
Falling rocks or debris| /wiki/File:Gefahrenzeichen_10b.svg| /wiki/File:Belgian_road_sign_A19.svg| /wiki/File:Czech_Republic_road_sign_A_18.svg| /wiki/File:Denmark_road_sign_A34.svg| /wiki/File:EE_traffic_sign-181.png| /wiki/File:Finland_road_sign_181.svg| /wiki/File:France_road_sign_A19.svg| /wiki/File:Zeichen_115-10_-_Steinschlag_von_rechts,_StVO_1992.svg| /wiki/File:Traffic_Sign_GR_-_KOK_2009_-_K-14.svg| /wiki/File:Hungary_road_sign_A-019.svg| /wiki/File:Iceland_road_sign_A21.11.svg| /wiki/File:Ireland_road_sign_W_164.svg| /wiki/File:Italian_traffic_signs_-_caduta_massi_da_destra.svg| /wiki/File:Luxembourg_road_sign_diagram_A_10_a.gif|NOT USED| /wiki/File:Norwegian-road-sign-114.1.svg| /wiki/File:Znak_A-25.svg| /wiki/File:Portugal_road_sign_A9.svg| /wiki/File:Romania_road_sign_A21.svg| /wiki/File:1.28_Russian_road_sign.svg| /wiki/File:Dopravn%C3%A1_zna%C4%8Dka_A20.svg| /wiki/File:Slovenia_road_sign_I-13.svg| /wiki/File:Spain_traffic_signal_p26.svg| /wiki/File:Sweden_road_sign_A12-1.svg| /wiki/File:CH-Gefahrensignal-Steinschlag_(1).svg| /wiki/File:Turkish_road_sign_33.jpg| /wiki/File:Ukraine_road_sign_1.16.gif| /wiki/File:UK_traffic_sign_559.svg
|Austria|Belgium|Czech Republic|Denmark|Estonia|Finland|France|Germany|Greece|Hungary|Iceland|Ireland|Italy|Luxembourg|Netherlands|Norway|Poland|Portugal|Romania|Russia & Belarus|Slovakia|Slovenia|Spain|Sweden|Switzerland & Liechtenstein|Turkey|Ukraine|United Kingdom
Caution, snow or ice|| /wiki/File:Belgian_road_sign_A15.svg| /wiki/File:Czech_Republic_road_sign_A_24.svg|| /wiki/File:EE_traffic_sign-185.png|NOT USED|NOT USED|or /wiki/File:Zeichen_113_-_Gl%C3%A4ttegefahr,_StVO_1988.svg|| /wiki/File:Hungary_road_sign_A-016.svg| /wiki/File:Iceland_road_sign_A27.21.svg| /wiki/File:Ireland_road_sign_W_134%2BP066.svg| /wiki/File:Italian_traffic_signs_-_strada_sdrucciolevole.svg|| /wiki/File:Nederlands_verkeersbord_J36.svg|| /wiki/File:Znak_A-32.svg| /wiki/File:Portugal_road_sign_A11.svg| /wiki/File:Romania_road_sign_A19.svg|(Belarus) /wiki/File:1.33_Belarus_(Road_sign).svg| /wiki/File:Dopravn%C3%A1_zna%C4%8Dka_A9.svg| /wiki/File:Slovenia_road_sign_I-32.svg| /wiki/File:Spain_traffic_signal_p34.svg||[note 5] /wiki/File:CH-Gefahrensignal-Schleudergefahr.svg| /wiki/File:Turkey_road_sign_T-37.svg| /wiki/File:Ukraine_road_sign_1.13.gif| /wiki/File:UK_traffic_sign_554.2.svg
Caution, fog likely||| /wiki/File:A26_CZ.svg|||NOT USED|NOT USED|| /wiki/File:Traffic_Sign_GR_-_KOK_-_K-42.svg||||| /wiki/File:Luxembourg_road_sign_diagram_A_17.gif| /wiki/File:Nederlands_verkeersbord_J35.svg||NOT USED| /wiki/File:Portugal_road_sign_A13.svg||NOT USED| /wiki/File:Dopravn%C3%A1_zna%C4%8Dka_A10.svg|| /wiki/File:Spain_traffic_signal_p33.svg||[note 6] /wiki/File:CH-Gefahrensignal-andere_Gefahren.svg|||NOT USED
Opening or swing bridge|| /wiki/File:Belgian_road_sign_A9.svg| /wiki/File:Pohybliv%C3%BD_most_(cz).svg| /wiki/File:Denmark_road_sign_A91.svg|NOT USED| /wiki/File:Finland_road_sign_131.svg| /wiki/File:France_road_sign_A6.svg| /wiki/File:Zeichen_128_-_Bewegliche_Br%C3%BCcke,_StVO_1992.svg| /wiki/File:Traffic_Sign_GR_-_KOK_2009_-_K-7.svg| /wiki/File:Hungary_road_sign_A-010.svg|NOT USED| /wiki/File:Ireland_road_sign_W_167.svg| /wiki/File:Italian_traffic_signs_-_ponte_mobile.svg|| /wiki/File:Nederlands_verkeersbord_J15.svg| /wiki/File:Norwegian-road-sign-118.0.svg| /wiki/File:Znak_A-13.svg| /wiki/File:Portugal_road_sign_A10.svg| /wiki/File:Romania_road_sign_A15.svg| /wiki/File:1.9_Russian_road_sign.svg|| /wiki/File:Slovenia_road_sign_I-6.svg| /wiki/File:Spain_traffic_signal_p5.svg| /wiki/File:Sweden_road_sign_A6.svg|NOT USED| /wiki/File:Turkish_road_sign_34.jpg| /wiki/File:Ukraine_road_sign_1.25.gif| /wiki/File:UK_traffic_sign_529.svg
Unprotected quayside or riverbank|| /wiki/File:Belgian_road_sign_A11.svg|NOT USED| /wiki/File:Denmark_road_sign_A92.svg| /wiki/File:EE_traffic_sign-138.png| /wiki/File:Finland_road_sign_132.svg| /wiki/File:France_road_sign_A20.svg| /wiki/File:Zeichen_129_-_Ufer,_StVO_1992.svg| /wiki/File:Traffic_Sign_GR_-_KOK_2009_-_K-8.svg|or /wiki/File:Hungary_road_sign_A-011.svg| /wiki/File:Iceland_road_sign_A33.11.svg| /wiki/File:W160_-_Unprotected_Water_-_Warning_Sign_Ireland.png| /wiki/File:Italian_traffic_signs_-_sbocco_su_molo.svg| /wiki/File:Luxembourg_road_sign_diagram_A_6.gif| /wiki/File:Nederlands_verkeersbord_J26.svg| /wiki/File:Norwegian-road-sign-120.0.svg| /wiki/File:Znak_A-27.svg| /wiki/File:Portugal_road_sign_A8.svg| /wiki/File:Romania_road_sign_A16.svg| /wiki/File:1.10_Russian_road_sign.svg|| /wiki/File:Slovenia_road_sign_I-7.svg| /wiki/File:Spain_traffic_signal_p27.svg| /wiki/File:Sweden_road_sign_A7.svg|NOT USED| /wiki/File:Turkish_road_sign_35.jpg| /wiki/File:Ukraine_road_sign_1.8.gif|or /wiki/File:UK_traffic_sign_555.svg
Domestic animals| /wiki/File:Gefahrenzeichen_13a.svg| /wiki/File:Belgian_road_sign_A29.svg| /wiki/File:Czech_Republic_road_sign_A_13.svg| /wiki/File:Denmark_road_sign_A27.svg| /wiki/File:EE_traffic_sign-177a.png|| /wiki/File:France_road_sign_A15a1.svg| /wiki/File:Zeichen_140-10_-_Viehtrieb,_Tiere;_StVO_1992.svg| /wiki/File:Traffic_Sign_GR_-_KOK_2009_-_K-18.svg| /wiki/File:Hungary_road_sign_A-023.svg| /wiki/File:Iceland_road_sign_A11.36.svg| /wiki/File:Ireland_road_sign_W_151.svg| /wiki/File:Italian_traffic_signs_-_animali_domestici_vaganti.svg|| /wiki/File:Nederlands_verkeersbord_J28.svg| /wiki/File:Norwegian-road-sign-146.4.svg| /wiki/File:Znak_A-18a.svg| /wiki/File:Portugal_road_sign_A19a.svg| /wiki/File:Romania_road_sign_A25.svg| /wiki/File:1.26_Russian_road_sign.svg| /wiki/File:Dopravn%C3%A1_zna%C4%8Dka_A17.svg| /wiki/File:Slovenia_road_sign_I-17.svg| /wiki/File:Spain_traffic_signal_p23.svg| /wiki/File:Sweden_road_sign_A19-3.svg| /wiki/File:CH-Gefahrensignal-Tiere.svg| /wiki/File:Turkish_road_sign_36.jpg| /wiki/File:Ukraine_road_sign_1.35.gif| /wiki/File:UK_traffic_sign_548.svg
Wild animals| /wiki/File:Gefahrenzeichen_13b.svg| /wiki/File:Belgian_road_sign_A27.svg| /wiki/File:Czech_Republic_road_sign_A_14.svg| /wiki/File:Denmark_road_sign_A26.svg| /wiki/File:EE_traffic_sign-178.png|or /wiki/File:Finland_road_sign_155.svg| /wiki/File:France_road_sign_A15b.svg| /wiki/File:Zeichen_142-10_-_Wildwechsel,_Aufstellung_rechts,_StVO_1992.svg| /wiki/File:Traffic_Sign_GR_-_KOK_2009_-_K-19.svg| /wiki/File:Hungary_road_sign_A-024.svg| /wiki/File:Iceland_road_sign_A11.38.svg| /wiki/File:Ireland_road_sign_W_153.svg| /wiki/File:Italian_traffic_signs_-_animali_selvatici_vaganti.svg| /wiki/File:Luxembourg_road_sign_diagram_A_14.gif| /wiki/File:Nederlands_verkeersbord_J27.svg| /wiki/File:Norwegian-road-sign-146.3.svg| /wiki/File:Znak_A-18b.svg| /wiki/File:Portugal_road_sign_A19b.svg| /wiki/File:Romania_road_sign_A26.svg| /wiki/File:1.27_Russian_road_sign.svg| /wiki/File:Dopravn%C3%A1_zna%C4%8Dka_A18.svg| /wiki/File:Slovenia_road_sign_I-18.svg| /wiki/File:Spain_traffic_signal_p24.svg| /wiki/File:Sweden_road_sign_A19-2.svg| /wiki/File:CH-Gefahrensignal-Wildwechsel.svg| /wiki/File:Turkish_road_sign_37.jpg| /wiki/File:Ukraine_road_sign_1.36.gif| /wiki/File:UK_traffic_sign_551.svg
Tunnel ahead|NOT USED|NOT USED| /wiki/File:Czech_Republic_road_sign_A_21.svg| /wiki/File:Denmark_road_sign_A44.svg|NOT USED|NOT USED|NOT USED|NOT USED| /wiki/File:Traffic_Sign_GR_-_KOK_2009_-_K-40.svg| /wiki/File:Hungary_road_sign_tunnel.svg| /wiki/File:Iceland_road_sign_A26.11.svg| /wiki/File:W162_-_Tunnel_-_Warning_Sign_Ireland.png|NOT USED|NOT USED|NOT USED| /wiki/File:Norwegian-road-sign-122.0.svg|NOT USED| /wiki/File:Portugal_road_sign_A20.svg| /wiki/File:Romania_road_sign_A14.svg| /wiki/File:1.31_Russian_road_sign.svg| /wiki/File:Dopravn%C3%A1_zna%C4%8Dka_A24.svg| /wiki/File:Slovenia_road_sign_I-24.svg|NOT USED| /wiki/File:Sweden_road_sign_A26.svg|REPLACED by sign no. 4.07a [note 7][6]| /wiki/File:Turkey_road_sign_T-28.svg| /wiki/File:Ukraine_road_sign_1.9.gif| /wiki/File:UK_traffic_sign_529.1.svg
